Date,Return
01-01-2022,2.73%
01-02-2022,4.52%
01-03-2022,5.62%
01-04-2022,6.07%
01-05-2022,5.64%
01-06-2022,5.59%
01-07-2022,5.52%
01-08-2022,1.01%
01-09-2022,5.23%
01-10-2022,3.36%
01-11-2022,4.74%
01-12-2022,3.28%
01-01-2023,4.27%
01-02-2023,4.17%
01-03-2023,3.72%
01-04-2023,3.17%
01-05-2023,5.08%
01-06-2023,4.23%
01-07-2023,4.18%
01-08-2023,4.73%
01-09-2023,4.48%
01-10-2023,4.86%
01-11-2023,4.03%
01-12-2023,3.49%
01-01-2024,4.68%
01-02-2024,5.08%
01-03-2024,4.81%
01-04-2024,5.03%
01-05-2024,5.75%
01-06-2024,4.64%
01-07-2024,4.80%
01-08-2024,3.78%
01-09-2024,3.72%
01-10-2024,4.01%
01-11-2024,3.76%
01-12-2024,3.06%
01-01-2025,3.37%
01-02-2025,3.32%
01-03-2025,4.66%
01-04-2025,4.37%
01-05-2025,4.24%
